,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
2463,2.142238522871191,-0.004543279233566011,-0.013582184368479133,-0.02873739274040954,0.009568076392050706,-0.05588640837848636,1
2658,1.4990965627841693,-0.1043804719182484,-0.1704417537586469,-0.24030358977367716,-0.2132375105928137,-0.3855585947355681,-7
4204,1.371556191949571,0.0526648966296992,0.10688348927030034,0.14516597266301723,0.11907669241330021,0.08098678295679364,6
4743,2.0933918825408155,0.23386442334802116,0.3760099460422279,0.47382313653657837,0.4742598931456885,0.3607985406821952,14
6941,1.7039961165475834,0.0354350320877066,0.03611540310891592,0.032575943280992004,0.06837593570019607,-0.03810257712567228,3
7267,1.5192737732424115,-0.10740290956880605,-0.13473910937071953,-0.1593127158109504,-0.1948225207715275,-0.1528091526407334,-6
9765,1.2638068282107153,-0.10117511838724713,-0.15777905305519258,-0.2184281922635356,-0.19137583870610042,-0.23724546366949587,-7
10917,1.9105847278051336,0.2096770946855795,0.3375872639351032,0.4570255779648651,0.4237761679340677,0.29073165558268166,14
13465,1.7252570429899543,-0.10952396287775601,-0.1736880865101802,-0.23215375269795668,-0.22720426855781106,-0.38693952029614964,-6
14044,1.4926207634879258,0.16210559730593532,0.28600217504118297,0.40535041929374716,0.3208874376292745,0.22422647484171337,14
14590,1.800318765487586,0.1551044387344851,0.23719406088552564,0.2583969138707629,0.2788436571763748,0.15421169293506584,11
16587,1.9064473244514466,0.06808420619668887,0.15647524460238627,0.25806184661218134,0.16821714290961953,0.14712956391084908,6
20262,1.6056644937159408,-0.07229991535436109,-0.0760211224192251,-0.06378537429746234,-0.13867092128037228,-0.16905319980873376,-4
21563,1.2994728382727407,0.029561420893086998,-0.005155052422188833,-0.13332051965463743,0.014559117624506346,-0.20939008069930598,2
23135,1.4069492762029738,0.007828550591323147,0.027922095384416368,0.03659566593072139,0.021793489191106463,-0.02520402798096901,2
23549,1.2568075748928862,-0.03333041665802461,-0.04223189213964984,-0.07120106614769428,-0.0677132081142906,-0.18474344102063348,-2
24153,2.035126266959597,0.12523737375651,0.12415998340288592,0.08860444665729839,0.20830450585173566,-0.09152279795694707,7
26929,1.5028619526390923,-0.0887836827683064,-0.1236846361464421,-0.15550123149636152,-0.168503891198579,-0.22885955280309753,-5
28750,1.3163894665188725,0.06713545064575621,0.1358581676576387,0.20568056812224622,0.13668548256526547,0.09605207954096205,8
30135,1.3434887396911221,-0.13015521441736277,-0.18143593852341833,-0.2446584364483375,-0.2461444210876953,-0.32345435791254284,-11
30235,1.9530084533120071,0.20700546524237273,0.32455430213494596,0.5162438476561233,0.4425938879433149,0.3375554013677402,13
31449,1.6549813725574862,0.13134011045152283,0.20326628583120598,0.2228682670708515,0.2514600721808826,0.08124020053755562,10
34115,1.671587312796961,0.01883406908337637,0.052701894875654354,0.1002145623591777,0.060136081255114826,-0.02875031258660428,3
