,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
1234,1.0751592246576378,-0.015429668467462188,-0.047722342634213266,-0.0939687452784147,-0.047536987757298865,-0.2072158617488387,-3
2451,1.1655680388869485,-0.022662006100585774,-0.05434953012414678,-0.10128614854710571,-0.04881404908459497,-0.11631802710830005,-1
5859,1.7933550671909393,-0.06173691092593425,-0.09232885861680828,-0.11357255705733893,-0.09920002948935003,-0.14414298325569752,-3
5883,1.010962309913125,-0.050964595686493586,-0.07515664550856549,-0.11711123408037982,-0.09294958572060752,-0.12163751060985985,-6
14573,1.5087972471330138,-0.002230020285570289,0.0012548667563900828,-0.030229293913372368,0.0016342493875878272,-0.06371224485510044,1
15405,1.1695452751682325,0.019970738812820965,0.045312495770214234,0.05927529190043068,0.044067723221207444,-0.011733502739742815,3
16333,1.543667507382219,-0.04355764686286978,-0.07248803222269751,-0.04288969796028974,-0.0922040373715598,-0.08692982813950467,-5
17442,1.3937999393176077,-0.09957815207569576,-0.15595052692127154,-0.19656520046362247,-0.19538908609416183,-0.27690609698116947,-9
18747,1.2574606546470382,0.007005170573306074,-0.017685517543722717,-0.0828612149940795,-0.007697971476099408,-0.15786998866742352,0
18920,1.484943780607782,-0.06706321883672928,-0.12174648681029066,-0.15160191826325997,-0.1321478805594507,-0.21259124913356756,-6
19334,1.1167407563851928,-0.07859160454887992,-0.10219022146981849,-0.12849530407975296,-0.14699575713794888,-0.15931383601846533,-7
20672,1.2039812632872475,-0.07333138835804864,-0.10207086972379997,-0.13736924173741238,-0.13892883647792043,-0.16876713971781243,-7
22035,1.1707359325715025,0.037543616994740736,0.03956267338951314,-0.022596896663051647,0.05756625029046969,-0.07398353225108842,4
22820,1.6805303104583245,0.09451071185284854,0.09501626141292574,-0.00669661702636648,0.14131887569242307,-0.05110502947524953,6
23791,1.4306820728358678,-0.21938766953916966,-0.34612929339008036,-0.4154430565091911,-0.4281738569233271,-0.5277450819566948,-21
24718,1.8966565817406,0.10008378912137572,0.16392686721345018,0.20312106577404188,0.19784880643480984,0.04658463467052466,7
25718,1.1028963052488072,-0.034114989434284926,-0.02886877938101362,-0.010829801806954809,-0.04673157233232117,-0.018044694769283026,-2
25940,1.4702857560355749,-0.05377147393528281,-0.06003015920944765,-0.04571480982913312,-0.08204998070132308,-0.03058792620926655,-2
26795,1.4025927916396501,-0.0751287298483494,-0.11492816498926461,-0.15851184118271178,-0.13989474610860575,-0.1979780395750727,-5
27777,1.9487596889286247,0.15423572287352982,0.22822716098095785,0.33546487723772156,0.31655180522429527,0.26197129453274315,11
31415,1.0259570377140201,-0.01847851515235166,-0.049396136477432906,-0.12924419047699587,-0.05613793841973869,-0.197181243913367,-2
31838,1.2414212627657706,-0.14902396767841486,-0.2594120675262367,-0.3445163561912178,-0.3051798612566712,-0.3960974216606101,-16
32253,1.1517491707848633,-0.04626812728676377,-0.0575660427076663,-0.065307776617328,-0.09481424904541291,-0.11637301443234428,-3
36982,1.74932003485873,0.0480796195001707,0.12698631006787742,0.25529559150322356,0.1360167034148938,0.20651146812266777,5
38028,1.4388424432866254,-0.018274622972352494,-0.0118604071426065,-0.011844813675404131,-0.023211207805502898,-0.0678344948724621,-1
38322,1.3007502968399314,-0.2070277048981597,-0.34009036238454193,-0.3983896488288088,-0.40668454143478394,-0.4808642738702233,-23
38775,1.3575841358771894,-0.05679328515625759,-0.0818094374877294,-0.11857598192437946,-0.10123034316432644,-0.16079076554872793,-5
38827,1.4741565284557947,-0.040750609563618534,-0.05769767093030942,-0.06769496644606288,-0.06676737261753996,-0.12441086951957328,-2
42880,1.5861335703082735,-0.17054238873876648,-0.2810351796456674,-0.4136210267477889,-0.3314847488853194,-0.372345510071238,-11
44244,1.512775377018121,-0.17570025935444034,-0.31896532725902915,-0.44778248107322516,-0.35822305784554564,-0.5613536652252247,-14
44403,1.1282128611309568,-0.04174973906660373,-0.05299647420259945,-0.07292647112345674,-0.07604044382834663,-0.11044689198146239,-3
46428,1.3127134420823565,-0.06413740813047575,-0.07263475845334977,-0.07668326367753697,-0.1166589122143391,-0.1279223606924458,-4
47306,1.002459916255876,-0.05058659574947488,-0.06715892056024209,-0.08676639644985018,-0.09037940260273236,-0.08304242119286404,-5
53259,1.3698067436632642,-0.09216680205890149,-0.11779033340009204,-0.14716651841959805,-0.16455498468169982,-0.14551583472593116,-6
53461,1.5964496188216266,0.20425261859340305,0.3365010017134662,0.4358118215429734,0.41591812905750647,0.33561770416165104,16
55352,1.2467386832412712,-0.013584105525847212,-0.06459330083795423,-0.17159533783736203,-0.05926456448575168,-0.2014809118167614,-3
57778,1.4635395415456518,0.16398565391498998,0.1968405270165654,0.12769972290739617,0.2909391032655553,0.01640978846603386,12
68803,1.0701160933773495,-0.009335258757326326,-0.016705707967118233,-0.07134301543337951,-0.025593315148278117,-0.11236946068435597,-1
71688,2.020850987444005,-0.07578015679843508,-0.1230065147454591,-0.17022803098856043,-0.1240079897275479,-0.2669876127752606,-3
72773,1.0845681174123454,-0.007987338284711543,-0.00010626745710839991,-0.01023040633470318,-0.008016394777208058,-0.04272664948081993,0
