,tcre,zec50,zec100,zec200
2463,2.101923265513133,0.11516994007546488,0.08163671641992742,0.07330053867056341
2658,1.519182910003206,-0.035800955443378246,-0.13578802552991553,-0.2236915549846481
4204,1.3398624280543912,0.05436951510096333,0.12876429611632223,0.2000708293867457
4743,1.8254772288524146,0.3861376718946068,0.5930180103551068,0.7752208465801784
6941,1.5848587982323337,0.1929964259814223,0.18583940078685734,0.18988656326248243
7267,1.6795592482898962,-0.1981043866857033,-0.2521775638715076,-0.28343282266968517
9765,1.3343789103378665,-0.07767000826294801,-0.1697304721252757,-0.24780136644073458
10917,1.6483349743224784,0.3607437038947481,0.5409935753191761,0.7331417265799081
13465,1.755301904102954,-0.05368145867572949,-0.15138872054458052,-0.22690237388374435
14044,1.3279377416015818,0.20258644229067424,0.3790556345834739,0.5645026699811391
14590,1.6578907787809254,0.2036291313413119,0.3514769307698977,0.4213488898361313
16587,1.8828053181269058,0.041317428562889,0.14468507097660122,0.28309499125523074
20262,1.6902223206728304,-0.12965105806872268,-0.1464022760464232,-0.13121642519943588
21563,1.234489881530985,0.10727821717170682,0.11812945582452117,-0.006784924533884018
23135,1.3953787698933622,0.021511627252192467,0.04907417490517019,0.07841696986651825
23549,1.2820857252328,-0.0386512460845283,-0.04903369515394296,-0.07113356738191623
24153,1.7075907106612398,0.45925057934549995,0.47530088109998303,0.4430975834620261
26929,1.5708260907956877,-0.09326502564306138,-0.15612545979258874,-0.19395246535304267
28750,1.2646651852019475,0.057834978214018395,0.15084607411751239,0.2594900910678195
30135,1.526304083250334,-0.24437443073866727,-0.32045696227879605,-0.40094519423783437
30235,1.590063122252944,0.4995932015154949,0.6276705257889401,0.8629409222423772
31449,1.4865733637878327,0.22968144884025032,0.3529418199066645,0.4278508660368021
34115,1.6206531767537649,0.06353385767669284,0.09438840188973563,0.15247784196391412
34553,1.5289818629791139,-0.07634990336760783,-0.23686566667975573,-0.41607380431821195
35954,1.5020163811690932,0.17757104963309533,0.3113316323183464,0.37681286042540485
37240,1.4785544993516266,-0.032510946536597585,-0.21917097022618792,-0.42407110415029026
37661,1.0962594386565745,-0.03899020118729357,-0.018934979006154373,-0.017022275937795595
39312,1.9067957570630982,0.7278481102255525,0.8138893898786517,0.9654812155944654
46289,1.490657972251311,0.25592741838899546,0.3767666194063908,0.4449273533489826
47806,1.4583407687824548,0.047076914186641394,0.0646119593710035,-0.0012417900536783044
49826,1.50925768199681,0.38701950824549103,0.6284186181732694,0.8230066259997333
51028,1.525763011206556,-0.25663889024598463,-0.3248013128476852,-0.3856391782555455
56941,1.7699250847903327,-0.17074894698004517,-0.2460569731484623,-0.3087419220566916
59310,1.2718861999380886,-0.04493154732614846,-0.062321190381994906,-0.11131217738691679
63193,1.6625842913246456,-0.21516427458698373,-0.275848428086509,-0.32110280653891654
63655,1.5236907229303287,0.03087895824183229,-0.10071773089563507,-0.261673633460054
63687,1.5582065928763895,0.1974300340406363,0.05302563723800913,-0.12887531323975598
68623,1.7112340251321008,-0.02849566134094883,-0.02192685826683083,0.026949928522848943
69612,1.445715572191,0.419282526489162,0.6385414825901263,0.818480911363819
78678,1.741699919746458,0.11888804404487674,0.11225524762249584,0.12267870702646122
79166,1.499722787125131,-0.1899754805303253,-0.2733274274083213,-0.3526308996055607
79234,1.3361012754630983,0.05476806674238999,0.06539406633844602,0.023557138450645443
80934,2.1288336588621544,0.2105570834424717,0.32293949955432266,0.5061975944726353
81281,1.4987452643069914,0.07527342644485069,0.059413754793332885,0.0718957095528776
81697,1.255393033554806,-0.11119583958475165,-0.10567234308797935,-0.1048834005785737
85348,1.6108539450916823,0.20728430024232747,0.1595850836511583,0.027603659575173856
87918,1.4346738734806253,-0.004416816587284211,0.0297775374966609,0.01703958192658095
96688,1.2376759535363469,-0.06397429867437054,-0.04992668104101461,-0.06392059219337454
99145,1.6672922285223633,-0.030074974504042284,-0.012636282184220082,0.07179079950344547
100294,1.6953252859452765,0.0068838241562285685,-0.09503961468282651,-0.18959199571346996
100722,1.0132322531626827,-0.08908436465994851,-0.09913519163780005,-0.1338873871745896
102380,1.2171114772614564,0.09111260725006232,0.1661426066140732,0.2508782419765567
102490,1.6228390756773012,-0.06406766020863852,0.010726170435270577,0.12400115141321155
105297,1.6469004953826634,0.06326200204881594,-0.045097817777342675,-0.14375189120975929
105639,1.7363514857935307,0.007967570083356579,-0.06388463937876598,-0.11503253206338804
109556,1.5763793905470247,-0.14540400753830718,-0.22217806740190715,-0.31440312798383285
109909,1.264783141561912,-0.11687021519905683,-0.12847701351279595,-0.15893630507691103
109987,1.2232326730700074,0.026405335948764375,0.09622912051265642,0.16649948422047212
111132,1.2386037659356934,0.0319010986044701,0.02669842038555137,-0.09952373083339561
111466,1.51365671117328,0.6963534617559732,1.0209288867963404,1.1511996560680884
113527,1.6530091800939335,-0.03243435802309147,0.007601538085988846,0.02226395353689581
113919,1.5460316999400452,0.12869649205332845,0.18676722171823057,0.2708922423579898
121941,1.5444184900962732,-0.15281165679100184,-0.17077831433707624,-0.18876852629443297
123138,1.5503866097620855,0.14321154655622848,0.28525076750042966,0.4770200864394474
123402,1.9422563451551276,0.6987991490357266,0.9403215100345363,1.0264942267826545
124282,1.2069007134908682,-0.10330518408880951,-0.15691112661525275,-0.20951762487662995
124327,1.2940414857330897,0.21904459932161613,0.31232390143199185,0.32025269851049676
124387,1.778352207851337,0.030463237454166014,-0.02201422840130851,-0.0714637483795566
127431,1.9717706411219103,-0.06691478004050433,-0.10603556976038275,-0.11844347441621861
130622,1.3555626331210076,0.763411062043915,1.2120390986857195,1.6443165185838864
131241,1.5488247896521694,-0.05614450674867899,-0.08334813393773066,-0.07973775462728461
132706,1.5025654828039978,-0.011619647832136426,0.01563918411141474,-0.01678272481842047
135289,1.3992923607534868,-0.10811755895178599,-0.14006512615340339,-0.1674322374968693
138399,1.0981980394132624,-0.07023878453085608,-0.06691030136439147,-0.05805054196738668
139657,1.2311549755130107,0.2611796945465399,0.41842564283909156,0.6173032222210044
141476,1.694570646349887,0.44408093917057023,0.6491200579119365,0.799744698702888
141730,1.6533447286690106,-0.23865285032849792,-0.3447405189159267,-0.45837553819022014
144550,2.243990349403114,0.18871331669789626,0.2825598901464681,0.5022301696197897
146758,1.2105345151769475,-0.047538366390148745,-7.928481327823533e-05,0.0628098895830318
148848,1.2621258905383677,-0.04221776266947863,-0.056500410109409094,-0.08071552761479883
150984,1.4437357195123772,-0.26809087425181866,-0.32757883509999197,-0.39059429922319966
154492,1.228001539914094,0.08923662353502482,0.20978067006877033,0.4002436033670713
156852,1.832631920933685,0.03102484389518323,-0.2726698705219641,-0.5578034955006712
157776,1.552280114608478,0.43330789939580727,0.6760466810241508,0.8537410333616675
159421,1.1199146099981512,0.036695420685792346,0.12301769948223495,0.23345768219988572
